PLACEID,CHANGETYPE,ATTRIBUTENAME,PRIMARY,LANGUAGECODE,NAMETYPE,BASETEXT,PREVIOUS_NAMETYPE,PREVIOUS_LANGUAGECODE,PREVIOUS_BASETEXT
036r3gx1-3df9f0a0fe1a4b77875157da2408329e,UPDATE,NAME,TRUE,en,OFFICIAL,Goodwin Village,OFFICIAL,en,ARV Goodwin Village
036r3gr7-c94a402b8b8f5ef9378a8389735139a3,UPDATE,NAME,TRUE,en,OFFICIAL,CARDINAL GILROY VILLAGE,OFFICIAL,en,Southern Cross Care Cardinal Gilroy Village
0368lxx5-0ef387ca7f5a03cb96d582c61c08cd88,UPDATE,NAME,TRUE,en,OFFICIAL,Bupa Aged Care,OFFICIAL,en,Bupa Care Services
036r3gqz-564492895dff4d5b8746e304d9971005,UPDATE,NAME,TRUE,en,OFFICIAL,The Glen Village//////,OFFICIAL,en,Glen Village
0365b8c5-a22cc851fc1d5e91b2230da120382573,UPDATE,NAME,TRUE,en,OFFICIAL,IRT ThomasHolt,OFFICIAL,en,Irt Group
036r3gqm-936c49a55cf441f79da1b79dc0a4675b,UPDATE,NAME,TRUE,en,OFFICIAL,The Palms Aged Care,OFFICIAL,en,Palms Aged Care
036f8b0c-7043284777a97aa032d5a74805ca8518,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Karinya,OFFICIAL,en,Uniting Karinya Hornsby
036r3grg-38e19b52ef3941d0901dfbde148df9e3,UPDATE,NAME,TRUE,en,OFFICIAL,Woodberry Village,OFFICIAL,en,Anglican Retirement Villages
036r3grp-47838e4783464becaf9208b9ea0e5f5d,UPDATE,NAME,TRUE,en,OFFICIAL,Lewisham Retirement Hostel,OFFICIAL,en,Lewisham Hostel
036r3grx-f2314c6e33984bf180b11f2dcc5c2896,UPDATE,NAME,TRUE,en,OFFICIAL,Hunters Hill Village,OFFICIAL,en,Hunters Hill Village Retirement Living
036cd110-95ea791e60421fce47b01b2737588621,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Edinglassie Village - ABC,OFFICIAL,en,Uniting Edinglassie
036r3gqq-81547b8b007648ff82b027f94ef73b16,UPDATE,NAME,TRUE,en,OFFICIAL,Fatima Court,OFFICIAL,en,Southern Cross Care Fatima Court
